0.0,24.28
0.0,24.28
0.0,24.3
24.3,49.83
49.83,78.89
78.89,127.12
127.12,153.61
153.61,231.51000000000002
231.51000000000002,290.76
290.76,360.69
360.69,417.39
417.39,469.61
469.61,499.58000000000004
499.58000000000004,562.1600000000001
562.1600000000001,590.95
590.95,619.1400000000001
619.1400000000001,644.2100000000002
644.2100000000002,713.1300000000001
713.1300000000001,761.94
761.94,823.5600000000001
823.5600000000001,852.1400000000001
852.1400000000001,912.5900000000001
0.0,24.3
24.3,49.8
49.8,78.86
78.86,127.07
127.07,153.51
153.51,231.43
231.43,290.7
290.7,360.65
360.65,417.33
417.33,469.5
469.5,499.54
499.54,562.12
562.12,590.89
590.89,619.06
619.06,644.0799999999999
644.0799999999999,712.93
712.93,761.76
761.76,823.38
823.38,851.93
851.93,912.3299999999999
0.0,24.3
24.3,49.8
49.8,78.86
78.86,127.09
127.09,153.55
153.55,231.42000000000002
231.42000000000002,290.67
290.67,360.6
360.6,417.3
417.3,469.54
469.54,499.48
499.48,562.04
562.04,590.78
590.78,618.9499999999999
618.9499999999999,643.9699999999999
643.9699999999999,712.8399999999999
712.8399999999999,761.6499999999999
761.6499999999999,823.2499999999999
823.2499999999999,851.8299999999999
851.8299999999999,912.28
0.0,24.28
24.28,49.81
49.81,78.87
78.87,127.08000000000001
127.08000000000001,153.54000000000002
153.54000000000002,231.34000000000003
231.34000000000003,290.61
290.61,360.51
360.51,417.19
417.19,469.38
469.38,499.35
499.35,561.9300000000001
561.9300000000001,590.7
590.7,618.8900000000001
618.8900000000001,643.94
643.94,712.76
712.76,761.59
761.59,823.24
823.24,851.86
851.86,912.28
